Title,Company,Location,Date,Description,Link
"Senior Machine Learning Engineer (Modeling), Risk",Block Inc,Remote or California,Today,"Since we opened our doors in 2009, the world of commerce has evolved immensely, and so has Square. After enabling anyone to take payments and never miss a sale, we saw sellers stymied by disparate, outmoded products and tools that wouldn't work together. So we expanded into software and started building integrated, omnichannel solutions - to help sellers sell online, manage inventory, offer buy now, pay later functionality, book appointments, engage loyal buyers, and hire and pay staff. Across i",https://www.dice.com/job-detail/c54d2a21-f984-4520-8cb9-3d3482c6b3d0
"Principal Engineer, Machine Learning Ops",Harman International,Remote or California,Today,"A Career at HARMAN As a technology leader that is rapidly on the move, HARMAN is filled with people who are focused on making life better. Innovation, inclusivity and teamwork are a part of our DNA. When you add that to the challenges we take on and solve together, you'll discover that at HARMAN you can grow, make a difference and be proud of the work you do every day. About the Role Join our team as a Principal MLOps Engineer and help build the infrastructure and deployment systems for a rev",https://www.dice.com/job-detail/855a3c61-ce16-4ebc-afe4-c153cdbe0375
Senior Machine Learning Engineer - (Platform),Coinbase,Remote,Today,"Ready to be pushed beyond what you think you're capable of? At Coinbase, our mission is to increase economic freedom in the world. It's a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform - and with it, the future global financial system. To achieve our mission, we're seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the",https://www.dice.com/job-detail/af0db90d-da58-4e7e-a5a8-ef50d02f4bbe
Staff ML Software Engineer,eBay Inc.,"Remote or Austin, Texas",Today,"At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our customers are our compass, authenticity thrives, bold ideas are welcome, and everyone can bring their unique selves to work - every day. We're in this together, sustaining the futur",https://www.dice.com/job-detail/d22ec254-4578-40b0-b79d-4218f9224b19
Machine Learning Engineer - (Platform),Coinbase,Remote,Today,"Ready to be pushed beyond what you think you're capable of? At Coinbase, our mission is to increase economic freedom in the world. It's a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform - and with it, the future global financial system. To achieve our mission, we're seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the",https://www.dice.com/job-detail/ee4a3998-7f44-45cf-bb9d-4a12c78adb73
"Lead Engineer - Machine Learning / ML Ops (Python, PySpark, Vertex AI)",Target Corporation,"Remote or Brooklyn Park, Minnesota",Today,"The pay range is $128,000.00 - $231,000.00 Pay is based on several factors which vary based on position. These include labor markets and in some instances may include education, work experience and certifications. In addition to your pay, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Target offers eligible team members and their dependents comprehensive health benefits and programs, which may include medical, vision, dental, life",https://www.dice.com/job-detail/3776a645-84ff-40da-99d9-beea666fd1cc
Senior Machine Learning Platform Engineer (Platform - AI),Coinbase,Remote,Today,"Ready to be pushed beyond what you think you're capable of? At Coinbase, our mission is to increase economic freedom in the world. It's a massive, ambitious opportunity that demands the best of us, every day, as we build the emerging onchain platform - and with it, the future global financial system. To achieve our mission, we're seeking a very specific candidate. We want someone who is passionate about our mission and who believes in the power of crypto and blockchain technology to update the",https://www.dice.com/job-detail/4d19d10f-f197-4bf6-b667-bd982add1275
"Senior Staff Software Engineer, Machine Learning",Discord Inc.,"Remote or San Francisco, California",Today,"Discord is used by over 200 million people every month for many different reasons, but there's one thing that nearly everyone does on our platform: play video games. Over 90% of our users play games, spending a combined 1.5 billion hours playing thousands of unique titles on Discord each month. Discord plays a uniquely important role in the future of gaming. We are focused on making it easier and more fun for people to talk and hang out before, during, and after playing games. This individual i",https://www.dice.com/job-detail/45cf2728-876c-442a-a6c1-bf06d784f0e3
Machine Learning Engineer (L5) - Studio Media Algorithms,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. The Studio Media Algorithms team is at the forefront of innovation to enhance and support the vision of creators of movies, TV shows, and other modes of entertainment. This",https://www.dice.com/job-detail/a4f00833-7146-452f-971c-e48b342b3454
"Sr. Staff Software Engineer, ML Platform","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/cce44321-76e9-4479-80e6-d6453cc9541d
"Machine Learning Engineer II, Computer Vision","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/91961730-b937-41e1-a49a-f81f976682a8
"Sr. Machine Learning Engineer, Computer Vision","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/97e475bc-be36-450b-bad5-c1ae1e93cfa6
AI/ML Engineer,Parsons Services Company,Remote,Today,"In a world of possibilities, pursue one with endless opportunities. Imagine Next! When it comes to what you want in your career, if you can imagine it, you can do it at Parsons. Imagine a career working with exceptional people sharing a common quest. Imagine a workplace where you can be yourself. Where you can thrive. Where you can find your next, right now. We've got what you're looking for. Job Description: We are looking to hire a highly motivated hybrid AI/ML Engineer who brings a robust",https://www.dice.com/job-detail/511f37bc-aa91-45c7-8a87-6dbe15020297
"Machine Learning Engineer (Modeling), Square Financial Services",Block Inc,Remote or California,Today,"The Role As a Machine Learning Engineer on the Banking & SFS team, you will support fellow Data Scientists and Modelers in building and deploying machine learning models that support our banking and lending business. Square Banking includes some of the fastest growing products that have a material contribution to Block's business. This is a product focused modeling role in which the work has immediate customer and financial impact. You'll have the chance to engage with a diverse range of team me",https://www.dice.com/job-detail/99b6e321-3b07-4258-b37a-e2abee9f1702
Principal /Staff level Engineer- Machine Learning,Autodesk Inc.,Remote or California,Today,"Job Requisition ID # 24WD84408 Position Overview This role can be remote within the U.S. or Canada, though San Francisco is the preferred location We're looking for a seasoned Staff Data Scientist/Machine Learning Engineer to drive data-informed decisions for Autodesk B2C business. You will play a critical role in helping Autodesk build the eCommerce platforms of the future. Data Scientists/MLE are both data/research scientists and software engineers, who develop and implement machine learning",https://www.dice.com/job-detail/d32a3681-85e3-40e8-bfdd-f972a0ccc4f3
Staff Machine Learning Engineer - Responsible AI,"Pinterest, Inc.","Remote or Palo Alto, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/b5c2a6ee-7864-42cb-ba0f-835b3ff6076a
"Staff Software Engineer, ML Serving Platform","Pinterest, Inc.","Remote or San Francisco, California",Today,"About Pinterest: Millions of people around the world come to our platform to find creative ideas, dream about new possibilities and plan for memories that will last a lifetime. At Pinterest, we're on a mission to bring everyone the inspiration to create a life they love, and that starts with the people behind the product. Discover a career where you ignite innovation for millions, transform passion into growth opportunities, celebrate each other's unique experiences and embrace the flexibility",https://www.dice.com/job-detail/ffa8bdbc-012e-4712-a16d-5143d27fe097
Senior Machine Learning Engineer (Modeling) - Underwriting & Credit,Block Inc,Remote or California,Today,"It all started with an idea at Block in 2013. Initially built to take the pain out of peer-to-peer payments, Cash App has gone from a simple product with a single purpose to a dynamic ecosystem, developing unique financial products, including Afterpay/Clearpay, to provide a better way to send, spend, invest, borrow and save to our 50+ million monthly active customers. We want to redefine the world's relationship with money to make it more relatable, instantly available, and universally accessibl",https://www.dice.com/job-detail/536dadf0-98a1-4ce6-a77c-b2c8fa4548c4
Senior Machine Learning Engineer,McKesson Corporation,"Remote or Irving, Texas",Today,"McKesson is an impact-driven, Fortune 10 company that touches virtually every aspect of healthcare. We are known for delivering insights, products, and services that make quality care more accessible and affordable. Here, we focus on the health, happiness, and well-being of you and those we serve - we care. What you do at McKesson matters. We foster a culture where you can grow, make an impact, and are empowered to bring new ideas. Together, we thrive as we shape the future of health for patien",https://www.dice.com/job-detail/c05279c0-f098-4c2d-a903-c2cc0d54e306
Principal Machine Learning Engineer US or Canada Hybrid or Remote,Autodesk Inc.,"Remote or San Francisco, California",Today,"Job Requisition ID # 25WD88775 About the Growth Experience Technology Machine Learning Team (GET-ML) The GET-ML Team is responsible for delivering Machine Learning Features that transform the customer experience for Sales, Marketing, and Customer Success functions at Autodesk. We aim to help our customers, through conversation, personalization, and other intelligent features on our platform. Our team members work extensively with stakeholders across the company, in a role with significant te",https://www.dice.com/job-detail/61e8474a-2b01-4333-b554-44752f29f609
Senior Cognitive/Machine Learning Engineer,Humana Inc,Remote,Today,"Become a part of our caring community and help us put health first We are seeking a talented and motivated Senior Cognitive/Machine Learning Engineer to join our dynamic team. The traditional candidate will have a strong background in both traditional machine learning and emerging generative AI technologies. As a Senior Cognitive/Machine Learning Engineer, you will play a key role in developing and deploying innovative AI-powered solutions, working with large-scale datasets and cutting-edge too",https://www.dice.com/job-detail/31e3e2f3-7e00-4b36-8388-95d3075e25c2
Machine Learning Engineer 5 - Ads Platform Engineering,"Netflix, Inc.",Remote,Today,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time. We launched a new ad-supported tier in November 2022 to offer our members more choice in how they consume their content. Our new tier allows us to attract new members at a l",https://www.dice.com/job-detail/7ba0a610-259e-430e-9aec-264ad58f1350
"Machine Learning Engineer: 2D & 3D Geometric Data, Generative AI East Coast, United States",Autodesk Inc.,Remote or Massachusetts,Today,"Job Requisition ID # 25WD89728 Position Overview Autodesk is leading the transformation of the AEC industry, integrating AI technology into our products. We're enhancing our applications with cloud- native capabilities, including data at scale, edge computing, AI-based solutions, and advanced 3D modeling and graphics. This innovation is happening across our flagship products-AutoCAD, Revit, and Construction Cloud-and Forma, our new Industry Cloud. As a Machine Learning Engineer on the AEC",https://www.dice.com/job-detail/1a439eaf-e624-451b-a40d-fe5659a3d703
Staff AI/ML Software Engineer,"ServiceNow, Inc.","Remote or Chicago, Illinois",Today,"Company Description It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today - ServiceNow stands as a global market leader, bringing innovative AI-enhanced technology to over 8,100 customers, including 85% of the Fortune 500 . Our intelligent cloud-based platform seamlessly connects people, systems, and processes to empower organizations to find smarter, faster, and better ways to work. But thi",https://www.dice.com/job-detail/e130ee82-c197-4771-a4ff-2f63b4813b14
AI/Machine Learning Engineer,3M Company,"Remote or Maplewood, Minnesota",Today,"Job Description: AI/Machine Learning Engineer Collaborate with Innovative 3Mers Around the World Choosing where to start and grow your career has a major impact on your professional and personal life, so it's equally important you know that the company that you choose to work at, and its leaders, will support and guide you. With a wide variety of people, global locations, technologies and products, 3M is a place where you can collaborate with other curious, creative 3Mers. This position prov",https://www.dice.com/job-detail/d839f3aa-9df6-4c70-8665-9c018c5757fa
